company_name,input_entity_type,canonical_company_name,na_entity_name,step1_active,step2_north_america,step3_relevant,step4_ats_sql_fit,gpt_decision,categories,confidence,rationale,prompt_version,model,checked_at
10Charge Inc.,company,10Charge Inc.,,yes,yes,yes,no,no,EV or automotive electronics;power management IC or PMIC,0.58,Resolved to 10Charge Inc.; North American EV charging/power electronics appears relevant but looks too small/niche for a strong ATS seed.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
1stVision,company,"1stVision, Inc.",,yes,yes,no,no,no,,0.91,"Resolved to 1stVision, Inc.; it is a US machine-vision distributor/integrator rather than a target chip or hardware design employer.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
3AM Technologies,company,"3AM Technologies, Inc.",,yes,yes,no,no,no,,0.45,"Resolved to 3AM Technologies, Inc.; available information suggests a small US company without clear VLSI/EE hardware design focus or ATS-scale hiring.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
3Laws Robotics,company,3Laws Robotics,,yes,yes,yes,no,no,embedded systems;firmware;hardware validation or electronics test,0.53,"Resolved to 3Laws Robotics; robotics can involve embedded hardware and firmware, but the company appears too small for ATS-SQL seeding.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
3M Company,company,3M Company,,yes,yes,yes,no,no,hardware validation or electronics test;analog or digital design,0.64,"Resolved to 3M Company; while it has electronics-related products and manufacturing, it is not a focused VLSI/semiconductor design employer for this ATS list.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
5BARz International Inc.,company,5BARz International Inc.,,yes,yes,yes,no,no,RF or mmWave or wireless baseband chipset,0.6,"Resolved to 5BARz International Inc.; wireless signal-boosting hardware is adjacent to EE, but the company appears too small and not a strong ATS target.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
8BitDo Tech USA,company,8BitDo Tech USA,,yes,yes,yes,no,no,embedded systems;firmware;computer/server/datacenter/networking hardware,0.57,Resolved to 8BitDo Tech USA; consumer game-controller hardware involves embedded/firmware work but is not a strong medium-large ATS seed for VLSI hiring.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
908 Devices Inc.,company,908 Devices Inc.,,yes,yes,yes,no,no,embedded systems;firmware;analog or digital design;hardware validation or electronics test,0.73,"Resolved to 908 Devices Inc.; it builds electronic analytical instruments with embedded hardware, but it is not a core semiconductor or computing-hardware ATS target.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
A&D Engineering,company,"A&D Engineering, Inc.",,yes,yes,no,no,no,,0.77,"Resolved to A&D Engineering, Inc.; this US weighing/test-equipment subsidiary is not a clear target for VLSI or hardware design recruiting.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
A10 Networks,company,"A10 Networks, Inc.",,yes,yes,yes,yes,yes,computer/server/datacenter/networking hardware;embedded systems;firmware,0.91,"Resolved to A10 Networks, Inc.; it is a substantial North American networking-hardware employer with real ATS presence and relevant hardware/embedded roles.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
A123 Systems LLC,company,A123 Systems LLC,,yes,yes,yes,yes,yes,EV or automotive electronics;embedded systems;analog or digital design;hardware validation or electronics test,0.88,Resolved to A123 Systems LLC; it is an active North American battery/automotive electronics company with meaningful engineering hiring and ATS utility.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
AAEON Technology Inc. USA,company,AAEON Technology Inc.,AAEON Technology Inc. USA,yes,yes,yes,yes,yes,embedded systems;computer/server/datacenter/networking hardware;firmware;AI accelerator or ML hardware,0.84,Resolved to AAEON Technology Inc. with US hiring via AAEON Technology Inc. USA; its embedded/industrial computing hardware makes it a useful ATS seed.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
ABB Inc.,company,ABB Ltd,ABB Inc.,yes,yes,yes,yes,yes,embedded systems;firmware;EV or automotive electronics;analog or digital design;hardware validation or electronics test,0.82,Resolved to ABB Ltd with North American hiring via ABB Inc.; large industrial electrification/automation hardware business is relevant enough and ATS-usable.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
Abbott Laboratories,company,Abbott Laboratories,,yes,yes,yes,no,no,embedded systems;firmware;analog or digital design;hardware validation or electronics test,0.7,"Resolved to Abbott Laboratories; medical devices include embedded electronics, but it is not a focused VLSI/computing-hardware ATS seed for this database.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
ABC Dispensing Technologies,company,ABC Dispensing Technologies,,yes,yes,no,no,no,,0.72,Resolved to ABC Dispensing Technologies; dispensing equipment does not clearly place it in the target semiconductor/embedded hardware employer set.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
AC Propulsion,company,"AC Propulsion, Inc.",,yes,yes,yes,no,no,EV or automotive electronics;power management IC or PMIC;embedded systems,0.79,"Resolved to AC Propulsion, Inc.; EV powertrain electronics are relevant, but the company appears too small/specialized for ATS SQL seeding.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
Accessible Technologies,company,"Accessible Technologies, Inc.",,yes,yes,no,no,no,,0.38,"Resolved to Accessible Technologies, Inc.; identity and business appear too ambiguous to justify inclusion as a relevant EE/VLSI employer.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
ACCO Brands Corporation,company,ACCO Brands Corporation,,yes,yes,no,no,no,,0.94,Resolved to ACCO Brands Corporation; office products are outside the target semiconductor and hardware-design categories.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
Accton Technology Corporation USA,company,Accton Technology Corporation,Accton Technology Corporation USA,yes,yes,yes,yes,yes,computer/server/datacenter/networking hardware;embedded systems;firmware;AI accelerator or ML hardware,0.89,Resolved to Accton Technology Corporation with US hiring via Accton Technology Corporation USA; it is a substantial networking hardware/OCP-style employer and good ATS seed.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
Accuray Incorporated,company,Accuray Incorporated,,yes,yes,yes,no,no,embedded systems;firmware;analog or digital design;hardware validation or electronics test,0.74,"Resolved to Accuray Incorporated; radiation therapy systems involve sophisticated electronics, but the company is not a core VLSI/computing-hardware ATS target.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:00+00:00
Acer,company,Acer Inc.,Acer America Corporation,yes,yes,yes,yes,yes,computer/server/datacenter/networking hardware,0.88,"Resolves to Acer Inc.; it is an active Taiwanese computer hardware company with Acer America presence and a real NA careers footprint, relevant mainly for computer hardware.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
Achronix Semiconductor Corporation,company,Achronix Semiconductor Corporation,,yes,yes,yes,yes,yes,FPGA;ASIC;SoC;semiconductor design;RTL;design verification;AI accelerator or ML hardware,0.98,Resolves to Achronix Semiconductor Corporation; it is an active US semiconductor/FPGA company with strong direct relevance and ATS usefulness.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
