company_name,input_entity_type,canonical_company_name,na_entity_name,step1_active,step2_north_america,step3_relevant,gpt_decision,categories,confidence,rationale,prompt_version,model,checked_at
+Beryll,company,+Beryll GmbH,,yes,no,yes,no,EV or automotive electronics;embedded systems;firmware;hardware validation or electronics test,0.57,"Resolved '+Beryll' to +Beryll GmbH, an active automotive engineering company relevant to embedded/vehicle electronics, but I lack concrete evidence of a US/Canada hiring entity.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
1-800 Contacts,company,"1-800 Contacts, Inc.",,yes,yes,no,no,,0.98,"Resolved to 1-800 Contacts, Inc., an active US retailer/e-commerce company with North America presence but not an EE/VLSI hardware employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
10 Things,not_a_company,10 Things,,no,no,no,no,,0.99,'10 Things' appears to be a title/list phrase rather than a company.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
10.or,product_line,Tenor E-Commerce Private Limited,,yes,no,no,no,,0.63,Resolved '10.or' to the smartphone brand owned by Tenor E-Commerce Private Limited; the parent is active but I do not know of a concrete US/Canada hiring presence and it is not a clear target EE employer.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
10CHARGE,company,10Charge Inc.,,yes,yes,yes,yes,EV or automotive electronics;power management IC or PMIC;embedded systems,0.72,"Resolved to 10Charge Inc., an active North American EV charging/power electronics company relevant to automotive/power hardware.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
10X Capital Venture Acquisition,company,10X Capital Venture Acquisition Corp.,,yes,yes,no,no,,0.95,"Resolved to 10X Capital Venture Acquisition Corp., an active US SPAC/financial entity with no relevant EE/VLSI hardware business.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
10x Genomics,company,"10x Genomics, Inc.",,yes,yes,no,no,,0.84,"Resolved to 10x Genomics, Inc., an active US life-sciences instrumentation company, but it is not primarily a target semiconductor/electronics employer for this database.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
1945 Windsor Ford strike,not_a_company,1945 Windsor Ford strike,,no,no,no,no,,1.0,"'1945 Windsor Ford strike' is a historical event, not a company.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
1stVision,company,"1stVision, Inc.",,yes,yes,yes,yes,hardware validation or electronics test;embedded systems;analog or digital design,0.61,"Resolved to 1stVision, Inc., an active US machine-vision hardware company with North America presence and plausible relevance to electronics/imaging hardware.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
2000-series,not_a_company,2000-series,,no,no,no,no,,0.98,'2000-series' appears to be a product family/model designation rather than a company.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
